+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+----------+-----+-------------------------------------+---------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 |  master  | cnt |                 qid                 |  diff   | pct_diff |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 1512144    | 4502.19                    | 7079.46  | 6   | 36118,36307,36496,36114,36303,36492 | 2577.27 | 57.24    |
| 16  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2012144    | 2927.77                    | 5497.45  | 6   | 34998,35187,35376,34994,35183,35372 | 2569.68 | 87.77    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 253036     | 1981.02                    | 4550.54  | 6   | 10449,10624,10799,10445,10620,10795 | 2569.52 | 129.71   |
| 14  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 2262144    | 2164.51                    | 4733.15  | 6   | 31036,31225,31414,31032,31221,31410 | 2568.64 | 118.67   |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 315536     | 2326.98                    | 4893.58  | 6   | 12031,12206,12381,12027,12202,12377 | 2566.6  | 110.3    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 512144     | 2027.82                    | 4589.86  | 6   | 36090,36279,36468,36086,36275,36464 | 2562.04 | 126.34   |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 253036     | 1970.1                     | 4526.08  | 6   | 12024,12199,12374,12020,12195,12370 | 2555.98 | 129.74   |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 253036     | 2056.19                    | 4609.36  | 6   | 16224,16399,16574,16220,16395,16570 | 2553.17 | 124.17   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 1012144    | 3338.55                    | 5878.36  | 6   | 36104,36293,36482,36100,36289,36478 | 2539.81 | 76.08    |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | io_uring | 12        | 16  | increase  | asc         | asc        | 32768      | 497.41                     | 3036.65  | 6   | 37196,37385,37574,37192,37381,37570 | 2539.24 | 510.49   |
| 14  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | increase  | desc        | desc       | 2012144    | 1791.8                     | 4328.36  | 6   | 29895,30084,30273,29891,30080,30269 | 2536.56 | 141.56   |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 378036     | 2751.93                    | 5282.66  | 6   | 12038,12213,12388,12034,12209,12384 | 2530.73 | 91.96    |
| 13  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | increase  | asc         | desc       | 1762144    | 2422.54                    | 4951.7   | 6   | 27620,27809,27998,27616,27805,27994 | 2529.16 | 104.4    |
| 14  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | increase  | desc        | desc       | 2012144    | 1933.1                     | 4460.33  | 6   | 31029,31218,31407,31025,31214,31403 | 2527.23 | 130.73   |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | increase  | asc         | desc       | 190536     | 1525.2                     | 4034.86  | 6   | 9392,9567,9742,9388,9563,9738       | 2509.66 | 164.55   |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 190536     | 1622.07                    | 4130.61  | 6   | 16217,16392,16567,16213,16388,16563 | 2508.54 | 154.65   |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 503036     | 3114.06                    | 5608.46  | 6   | 15202,15377,15552,15198,15373,15548 | 2494.4  | 80.1     |
| 13  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | increase  | asc         | desc       | 1512144    | 2383.03                    | 4875.11  | 6   | 28747,28936,29125,28743,28932,29121 | 2492.08 | 104.58   |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 440536     | 2750.92                    | 5227.94  | 6   | 15195,15370,15545,15191,15366,15541 | 2477.02 | 90.04    |
| 16  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | worker   | 12        | 16  | decrease  | desc        | asc        | 2262144    | 2830.91                    | 5292.8   | 6   | 33871,34060,34249,33867,34056,34245 | 2461.89 | 86.96    |
| 5   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | asc         | desc       | 190536     | 1593.54                    | 4051.04  | 6   | 10442,10617,10792,10438,10613,10788 | 2457.5  | 154.22   |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 565536     | 3526.92                    | 5978.48  | 6   | 15209,15384,15559,15205,15380,15555 | 2451.56 | 69.51    |
| 6   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 190536     | 1593.83                    | 4042.74  | 6   | 12017,12192,12367,12013,12188,12363 | 2448.91 | 153.65   |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 378036     | 2364.46                    | 4787.36  | 6   | 15188,15363,15538,15184,15359,15534 | 2422.9  | 102.47   |
| 16  | 80         | 10000000 | 2500000   | 117648   | 1048576 | 2     | 4    | io_uring | 12        | 16  | decrease  | desc        | asc        | 1762144    | 2586.8                     | 5004.94  | 6   | 34991,35180,35369,34987,35176,35365 | 2418.14 | 93.48    |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 440536     | 3029.54                    | 5440.49  | 6   | 14670,14845,15020,14666,14841,15016 | 2410.95 | 79.58    |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 565536     | 3686.87                    | 6097.6   | 6   | 14684,14859,15034,14680,14855,15030 | 2410.73 | 65.39    |
| 7   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | asc         | desc       | 440536     | 2739.05                    | 5145.39  | 6   | 13620,13795,13970,13616,13791,13966 | 2406.34 | 87.85    |
| 8   | 60         | 10000000 | 625000    | 156250   | 1048576 | 128   | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 315536     | 2025.14                    | 4427.72  | 6   | 15181,15356,15531,15177,15352,15527 | 2402.58 | 118.64   |
| 17  | 20         | 10000000 | 2500000   | 476191   | 4194304 | 128   | 4    | worker   | 12        | 16  | increase  | asc         | asc        | 262144     | 1408.58                    | 3810.08  | 6   | 36083,36272,36461,36079,36268,36457 | 2401.5  | 170.49   |
