+-----+------------+----------+-----------+----------+---------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------------+----------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages |  fuzz   | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-munro-43ff7415 | patched-geoghegan-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
| 12  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | decrease  | desc        | asc        | 6048576    | 3049.15                          | 4094.32                    | 6   | 24625,24828,25031,24624,24827,25030 | 1045.17  | 34.28    |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 2048576    | 987.68                           | 2028.86                    | 6   | 62250,62453,62656,62249,62452,62655 | 1041.18  | 105.42   |
| 24  | 60         | 10000000 | 625000    | 156250   | 0       | 2048  | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 440536     | 5254.97                          | 6284.72                    | 6   | 51484,51659,51834,51483,51658,51833 | 1029.75  | 19.6     |
| 29  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 5048576    | 3649.52                          | 4674.83                    | 6   | 63489,63692,63895,63488,63691,63894 | 1025.31  | 28.09    |
| 32  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | desc        | asc        | 3048576    | 1455.8                           | 2472.49                    | 6   | 70174,70377,70580,70173,70376,70579 | 1016.69  | 69.84    |
| 31  | 60         | 10000000 | 10000000  | 156250   | 4096    | 0     | 1    | io_uring | 12        | 16  | decrease  | asc         | asc        | 3048576    | 1408.66                          | 2421.8                     | 6   | 67738,67941,68144,67737,67940,68143 | 1013.14  | 71.92    |
| 10  | 80         | 10000000 | 10000000  | 117648   | 16      | 32    | 1    | worker   | 12        | 16  | increase  | desc        | desc       | 6048576    | 2800.47                          | 3794.15                    | 6   | 20362,20565,20768,20361,20564,20767 | 993.68   | 35.48    |
| 39  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | worker   | 12        | 16  | decrease  | asc         | asc        | 4024288    | 2594.68                          | 3586.79                    | 6   | 84524,84720,84916,84523,84719,84915 | 992.11   | 38.24    |
| 40  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | asc        | 2024288    | 1555.08                          | 2546.68                    | 4   | 88024,88220,88023,88219             | 991.6    | 63.77    |
| 40  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | io_uring | 12        | 16  | decrease  | desc        | asc        | 4024288    | 4052.76                          | 5030.51                    | 4   | 88052,88248,88051,88247             | 977.75   | 24.13    |
| 37  | 100        | 10000000 | 5000000   | 93458    | 4       | 32    | 2    | io_uring | 12        | 16  | increase  | asc         | desc       | 2024288    | 1543.72                          | 2516.81                    | 6   | 81556,81752,81948,81555,81751,81947 | 973.09   | 63.04    |
| 1   | 80         | 10000000 | 1250000   | 117648   | 4       | 2048  | 8    | io_uring | 12        | 16  | increase  | asc         | desc       | 506072     | 2253.75                          | 3218.21                    | 6   | 1784,1966,2148,1783,1965,2147       | 964.46   | 42.79    |
