+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 | patched-munro-728899ba | cnt |                 qid                 |   diff   | pct_diff |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | asc        | 262144     | 106.31                     | 137.23                 | 6   | 26213,26416,26619,26215,26418,26621 | 30.92    | 29.08    |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | desc       | 157768     | 2692.53                    | 2722.31                | 6   | 18450,18618,18786,18452,18620,18788 | 29.78    | 1.11     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 65536      | 520.25                     | 549.78                 | 6   | 11667,11842,12017,11669,11844,12019 | 29.53    | 5.68     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | desc       | 220268     | 1743.78                    | 1772.7                 | 6   | 24512,24680,24848,24514,24682,24850 | 28.92    | 1.66     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 65536      | 265.65                     | 293.35                 | 6   | 9567,9742,9917,9569,9744,9919       | 27.7     | 10.43    |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 65536      | 269.08                     | 294.68                 | 6   | 16392,16567,16742,16394,16569,16744 | 25.6     | 9.51     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 131072     | 54.82                      | 79.91                  | 6   | 24988,25191,25394,24990,25193,25396 | 25.09    | 45.77    |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | asc        | 251518     | 1949.22                    | 1974.28                | 6   | 17967,18135,18303,17969,18137,18305 | 25.06    | 1.29     |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 565536     | 1490.15                    | 1514.35                | 6   | 173,348,523,175,350,525             | 24.2     | 1.62     |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 131072     | 88.19                      | 111.96                 | 6   | 27424,27627,27830,27426,27629,27832 | 23.77    | 26.95    |
