+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+------------------------------+----------------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-2-3ded1b78 | patched-geoghegan-munro-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | asc         | desc       | 157768     | 2198.88                      | 2228.49                          | 6   | 21472,21640,21808,21475,21643,21811 | 29.61    | 1.35     |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | increase  | asc         | asc        | 565536     | 1507.65                      | 1536.03                          | 6   | 171,346,521,174,349,524             | 28.38    | 1.88     |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | asc        | 565536     | 4071.77                      | 4100.12                          | 6   | 6471,6646,6821,6474,6649,6824       | 28.35    | 0.7      |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 565536     | 1859.66                      | 1887.88                          | 6   | 1221,1396,1571,1224,1399,1574       | 28.22    | 1.52     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | desc       | 220268     | 3789.73                      | 3817.95                          | 6   | 18462,18630,18798,18465,18633,18801 | 28.22    | 0.74     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | io_uring | 12        | 16  | increase  | asc         | desc       | 5048576    | 7810.57                      | 7837.42                          | 6   | 26862,27065,27268,26865,27068,27271 | 26.85    | 0.34     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | desc       | 157768     | 2724.91                      | 2750.8                           | 6   | 18448,18616,18784,18451,18619,18787 | 25.89    | 0.95     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | desc        | desc       | 95268      | 661.72                       | 687.35                           | 6   | 23474,23642,23810,23477,23645,23813 | 25.63    | 3.87     |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 220268     | 2381.98                      | 2407.58                          | 6   | 21990,22158,22326,21993,22161,22329 | 25.6     | 1.07     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 315536     | 2612.99                      | 2638.35                          | 6   | 11693,11868,12043,11696,11871,12046 | 25.36    | 0.97     |
