+-----+------------+----------+-----------+----------+------+-------+------+----------+-----------+-----+-----------+-------------+------------+------------+----------------------------+----------------------------------+-----+-------------------------------------+----------+----------+
| did | fillfactor |   rows   | ndistinct | relpages | fuzz | fuzz2 | step | iomethod | ioworkers | eic | direction | index_order | scan_order | num_values | patched-geoghegan-43ff7415 | patched-geoghegan-munro-43ff7415 | cnt |                 qid                 |   diff   | pct_diff |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | desc       | 220268     | 3785.81                    | 3817.95                          | 6   | 18464,18632,18800,18465,18633,18801 | 32.14    | 0.85     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 190536     | 1422.24                    | 1454.12                          | 6   | 5906,6081,6256,5907,6082,6257       | 31.88    | 2.24     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | desc       | 282768     | 2182.69                    | 2214.21                          | 6   | 24526,24694,24862,24527,24695,24863 | 31.52    | 1.44     |
| 14  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | desc        | asc        | 9048576    | 5748.16                    | 5777.16                          | 4   | 27501,27704,27502,27705             | 29.0     | 0.5      |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | desc        | desc       | 282768     | 2742.63                    | 2771.28                          | 6   | 19486,19654,19822,19487,19655,19823 | 28.65    | 1.04     |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | asc         | desc       | 282768     | 3945.05                    | 3973.22                          | 6   | 21502,21670,21838,21503,21671,21839 | 28.17    | 0.71     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | increase  | desc        | asc        | 220268     | 3039.32                    | 3066.71                          | 6   | 18968,19136,19304,18969,19137,19305 | 27.39    | 0.9      |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | desc       | 220268     | 1743.78                    | 1771.1                           | 6   | 24512,24680,24848,24513,24681,24849 | 27.32    | 1.57     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 190536     | 1505.05                    | 1532.28                          | 6   | 14306,14481,14656,14307,14482,14657 | 27.23    | 1.81     |
| 6   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | desc        | asc        | 190536     | 1527.52                    | 1554.67                          | 6   | 11681,11856,12031,11682,11857,12032 | 27.15    | 1.78     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 128036     | 961.46                     | 986.99                           | 6   | 5899,6074,6249,5900,6075,6250       | 25.53    | 2.66     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | desc       | 6048576    | 9364.96                    | 9390.46                          | 6   | 25653,25856,26059,25654,25857,26060 | 25.5     | 0.27     |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | worker   | 12        | 16  | decrease  | desc        | desc       | 565536     | 1487.84                    | 1513.05                          | 6   | 6998,7173,7348,6999,7174,7349       | 25.21    | 1.69     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | desc        | asc        | 282768     | 4278.78                    | 4303.78                          | 6   | 23014,23182,23350,23015,23183,23351 | 25.0     | 0.58     |
| 9   | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | asc         | asc        | 189018     | 1487.65                    | 1512.26                          | 6   | 17953,18121,18289,17954,18122,18290 | 24.61    | 1.65     |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 253036     | 839.91                     | 864.18                           | 6   | 1188,1363,1538,1189,1364,1539       | 24.27    | 2.89     |
| 5   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 65536      | 265.65                     | 289.31                           | 6   | 9567,9742,9917,9568,9743,9918       | 23.66    | 8.91     |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 315536     | 1045.1                     | 1068.36                          | 6   | 1195,1370,1545,1196,1371,1546       | 23.26    | 2.23     |
| 1   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | increase  | asc         | asc        | 378036     | 1250.26                    | 1273.11                          | 6   | 1202,1377,1552,1203,1378,1553       | 22.85    | 1.83     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 65536      | 499.89                     | 522.2                            | 6   | 5892,6067,6242,5893,6068,6243       | 22.31    | 4.46     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 65536      | 269.08                     | 291.0                            | 6   | 16392,16567,16742,16393,16568,16743 | 21.92    | 8.15     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 220268     | 3458.45                    | 3479.55                          | 6   | 19976,20144,20312,19977,20145,20313 | 21.1     | 0.61     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | desc       | 95268      | 744.05                     | 763.89                           | 6   | 24484,24652,24820,24485,24653,24821 | 19.84    | 2.67     |
| 13  | 80         | 10000000 | 10000000  | 117648   | 1024 | 8     | 1    | worker   | 12        | 16  | increase  | asc         | asc        | 3048576    | 1129.04                    | 1148.58                          | 6   | 25023,25226,25429,25024,25227,25430 | 19.54    | 1.73     |
| 10  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | increase  | desc        | asc        | 64018      | 993.93                     | 1013.3                           | 6   | 19941,20109,20277,19942,20110,20278 | 19.37    | 1.95     |
| 3   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 32768      | 245.6                      | 264.28                           | 6   | 5885,6060,6235,5886,6061,6236       | 18.68    | 7.61     |
| 4   | 100        | 10000000 | 625000    | 93458    | 0    | 8     | 16   | io_uring | 12        | 16  | decrease  | desc        | asc        | 253036     | 1926.51                    | 1945.1                           | 6   | 7488,7663,7838,7489,7664,7839       | 18.59    | 0.96     |
| 8   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | desc        | desc       | 128036     | 509.21                     | 527.78                           | 6   | 16399,16574,16749,16400,16575,16750 | 18.57    | 3.65     |
| 7   | 80         | 10000000 | 625000    | 117648   | 16   | 0     | 16   | io_uring | 12        | 16  | decrease  | asc         | desc       | 65536      | 517.82                     | 536.38                           | 6   | 14292,14467,14642,14293,14468,14643 | 18.56    | 3.58     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | worker   | 12        | 16  | decrease  | desc        | asc        | 126518     | 1922.34                    | 1940.72                          | 6   | 22979,23147,23315,22980,23148,23316 | 18.38    | 0.96     |
| 12  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | desc        | asc        | 282768     | 4907.89                    | 4926.18                          | 6   | 24022,24190,24358,24023,24191,24359 | 18.29    | 0.37     |
| 11  | 100        | 10000000 | 312500    | 93458    | 64   | 2     | 32   | io_uring | 12        | 16  | decrease  | asc         | asc        | 251518     | 2708.51                    | 2726.66                          | 6   | 21999,22167,22335,22000,22168,22336 | 18.15    | 0.67     |
